Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,22,TOT,NBA,PG,43,3,442,43,115,0.374,3,10,0.3,40,105,0.381,0.387,12,21,0.571,7,40,47,79,18,2,34,37,101
2010-11,22,HOU,NBA,PG,28,3,329,32,83,0.386,3,8,0.375,29,75,0.387,0.404,7,10,0.7,6,36,42,64,13,2,26,26,74
2010-11,22,MEM,NBA,PG,15,0,113,11,32,0.344,0,2,0,11,30,0.367,0.344,5,11,0.455,1,4,5,15,5,0,8,11,27
2011-12,23,TOT,NBA,PG,26,1,234,31,81,0.383,3,9,0.333,28,72,0.389,0.401,7,10,0.7,7,28,35,41,15,2,13,15,72
2011-12,23,GSW,NBA,PG,6,1,63,12,30,0.4,2,5,0.4,10,25,0.4,0.433,1,2,0.5,2,7,9,9,4,0,1,4,27
2011-12,23,ORL,NBA,PG,20,0,171,19,51,0.373,1,4,0.25,18,47,0.383,0.382,6,8,0.75,5,21,26,32,11,2,12,11,45
2012-13,24,TOT,NBA,PG,52,3,516,56,159,0.352,8,27,0.296,48,132,0.364,0.377,3,7,0.429,12,49,61,87,21,9,37,26,123
2012-13,24,ORL,NBA,PG,36,3,378,39,116,0.336,4,17,0.235,35,99,0.354,0.353,3,7,0.429,11,35,46,57,13,6,27,14,85
2012-13,24,MIL,NBA,PG,16,0,138,17,43,0.395,4,10,0.4,13,33,0.394,0.442,0,0,,1,14,15,30,8,3,10,12,38
2013-14,25,PHO,NBA,PG,70,1,1006,119,281,0.423,1,23,0.043,118,258,0.457,0.425,22,39,0.564,31,98,129,179,49,13,65,66,261
2014-15,26,OKC,NBA,PG,10,0,44,4,12,0.333,1,3,0.333,3,9,0.333,0.375,4,7,0.571,2,9,11,4,1,0,3,1,13
Career,,,NBA,,201,8,2242,253,648,0.39,16,72,0.222,237,576,0.411,0.403,48,84,0.571,59,224,283,390,104,26,152,145,570
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,PHO,NBA,,70,1,1006,119,281,0.423,1,23,0.043,118,258,0.457,0.425,22,39,0.564,31,98,129,179,49,13,65,66,261
2 seasons,,ORL,NBA,,56,3,549,58,167,0.347,5,21,0.238,53,146,0.363,0.362,9,15,0.6,16,56,72,89,24,8,39,25,130
1 season,,HOU,NBA,,28,3,329,32,83,0.386,3,8,0.375,29,75,0.387,0.404,7,10,0.7,6,36,42,64,13,2,26,26,74
1 season,,MIL,NBA,,16,0,138,17,43,0.395,4,10,0.4,13,33,0.394,0.442,0,0,,1,14,15,30,8,3,10,12,38
1 season,,MEM,NBA,,15,0,113,11,32,0.344,0,2,0,11,30,0.367,0.344,5,11,0.455,1,4,5,15,5,0,8,11,27
1 season,,OKC,NBA,,10,0,44,4,12,0.333,1,3,0.333,3,9,0.333,0.375,4,7,0.571,2,9,11,4,1,0,3,1,13
1 season,,GSW,NBA,,6,1,63,12,30,0.4,2,5,0.4,10,25,0.4,0.433,1,2,0.5,2,7,9,9,4,0,1,4,27
